QID,Ques,AnsOp,Ans
MSS1R1T01LSSA,What organelle functions to isolate a human cell’s chromosomes from the cytoplasm?,[],Nucleus
MSS1R1B01LSSA,What is the primary oxygen-carrying protein found in red blood cells?,[],Hemoglobin
MSS1R1T02PSSA,What physical state of matter is intermediate between a solid and gas?,[],Liquid
MSS1R1B02PSMC,Which of the following BEST describes the term static ?,"[""stationary"",""low"",""constant"",""used""]",Stationary
MSS1R1T03ESSA,What is the general name for the rising and falling of sea levels in response to the forces exerted by the Moon and Sun?,[],Tides
MSS1R1B03ESMC,Approximately what fraction of Earth’s surface is covered by oceans:,"[""One-Half"",""Two-Thirds"",""Seven-Tenths"",""Four-Fifths""]",Seven-Tenths
MSS1R1T04MASA,How many degrees are in one-third of a right angle?,[],30
MSS1R1B04MASA,"Round the number 535,279 to the nearest ten-thousand:",[],540000
MSS1R1T05GSSA,The number 4.56 × 10^11 has how many zeroes?,[],9
MSS1R1B05GSSA,"Giving your answer in grams, subtract 200 grams from 6.2 kilograms:",[],"6,000"
MSS1R1T06LSSA,How many permanent teeth does a typical adult human have?,[],32
MSS1R1B06LSSA,How many canine teeth does the typical human adult have?,[],4
MSS1R1T07PSMC,"Mary tried to lift her couch by exerting 500 newtons of force but it doesn’t budge. If the couch weighed 2,000 newtons, how much work did she do:","[""0"",""50 Watts"",""500 Joules"",""2000 Joules""]",0
MSS1R1B07PSSA,"Jeff walks west in a straight path for 100 meters and then east in a straight path for 150 meters. What is the magnitude of his displacement, in meters?",[],50
